Year,Source,Energy
1974,Coal,981.1
1975,Coal,981.2
1976,Coal,1047.7
1977,Coal,1070.4
1978,Coal,1103.0
1979,Coal,1168.9
1980,Coal,1169.4
1981,Coal,1229.2
1982,Coal,1194.9
1983,Coal,1228.3
1984,Coal,1334.2
1985,Coal,1316.4
1986,Coal,1401.5
1987,Coal,1430.7
1988,Coal,1548.4
1989,Coal,1576.1
1990,Coal,1623.2
1991,Coal,1640.3
1992,Coal,1642.6
1993,Coal,1661.4
1994,Coal,1710.1
1995,Coal,1775.9
1996,Coal,1852.6
1997,Coal,1959.5
1998,Coal,2022.7
1999,Coal,2052.5
2000,Coal,2081.5
2001,Coal,2127.8
2002,Coal,2118.7
2003,Coal,2221.7
2004,Coal,2254.5
2005,Coal,2292.7
2006,Coal,2316.6
2007,Coal,2300.2
2008,Coal,2351.0
2009,Coal,2224.8
2010,Coal,2123.9
2011,Coal,2074.7
2012,Coal,1930.9
2013,Coal,1845.8
2014,Coal,1907.2
2015,Coal,1954.9
2016,Coal,1930.0
2017,Coal,1847.3
2018,Coal,1801.6
2019,Coal,1706.6
1974,Oil,1327.7
1975,Oil,1339.7
1976,Oil,1410.6
1977,Oil,1438.3
1978,Oil,1440.9
1979,Oil,1411.6
1980,Oil,1358.6
1981,Oil,1339.0
1982,Oil,1262.7
1983,Oil,1306.7
1984,Oil,1306.6
1985,Oil,1304.9
1986,Oil,1315.8
1987,Oil,1369.3
1988,Oil,1433.2
1989,Oil,1452.7
1990,Oil,1440.9
1991,Oil,1444.5
1992,Oil,1491.7
1993,Oil,1532.5
1994,Oil,1606.3
1995,Oil,1663.9
1996,Oil,1660.6
1997,Oil,1680.1
1998,Oil,1698.2
1999,Oil,1722.9
2000,Oil,1701.5
2001,Oil,1750.0
2002,Oil,1801.9
2003,Oil,1810.5
2004,Oil,1869.0
2005,Oil,1969.7
2006,Oil,1988.3
2007,Oil,1981.8
2008,Oil,2000.3
2009,Oil,2057.8
2010,Oil,2211.6
2011,Oil,2183.8
2012,Oil,2276.2
2013,Oil,2293.9
2014,Oil,2233.8
2015,Oil,2276.7
2016,Oil,2315.1
2017,Oil,2400.3
2018,Oil,2407.3
2019,Oil,2241.2
1974,Gas,189.2
1975,Gas,211.2
1976,Gas,256.2
1977,Gas,283.0
1978,Gas,314.9
1979,Gas,362.6
1980,Gas,416.0
1981,Gas,462.0
1982,Gas,466.2
1983,Gas,490.0
1984,Gas,523.3
1985,Gas,570.7
1986,Gas,588.4
1987,Gas,610.5
1988,Gas,627.8
1989,Gas,688.1
1990,Gas,655.4
1991,Gas,678.6
1992,Gas,707.0
1993,Gas,736.8
1994,Gas,793.1
1995,Gas,797.0
1996,Gas,818.4
1997,Gas,859.3
1998,Gas,887.4
1999,Gas,921.5
2000,Gas,959.9
2001,Gas,974.7
2002,Gas,942.1
2003,Gas,974.0
2004,Gas,996.4
2005,Gas,1000.9
2006,Gas,1131.9
2007,Gas,1168.7
2008,Gas,1252.9
2009,Gas,1257.8
2010,Gas,1274.2
2011,Gas,1338.5
2012,Gas,1376.5
2013,Gas,1407.2
2014,Gas,1420.0
2015,Gas,1464.4
2016,Gas,1496.7
2017,Gas,1557.3
2018,Gas,1586.5
2019,Gas,1647.2
1974,Renewables,204.0
1975,Renewables,206.2
1976,Renewables,199.3
1977,Renewables,201.2
1978,Renewables,199.6
1979,Renewables,193.6
1980,Renewables,206.0
1981,Renewables,210.7
1982,Renewables,203.5
1983,Renewables,200.9
1984,Renewables,212.9
1985,Renewables,214.9
1986,Renewables,214.5
1987,Renewables,218.4
1988,Renewables,228.7
1989,Renewables,233.0
1990,Renewables,236.3
1991,Renewables,221.9
1992,Renewables,243.8
1993,Renewables,252.3
1994,Renewables,258.8
1995,Renewables,267.2
1996,Renewables,280.1
1997,Renewables,278.2
1998,Renewables,278.3
1999,Renewables,274.1
2000,Renewables,268.9
2001,Renewables,244.5
2002,Renewables,276.5
2003,Renewables,279.1
2004,Renewables,280.2
2005,Renewables,284.5
2006,Renewables,288.3
2007,Renewables,286.4
2008,Renewables,239.9
2009,Renewables,282.6
2010,Renewables,294.6
2011,Renewables,293.8
2012,Renewables,333.5
2013,Renewables,344.2
2014,Renewables,347.7
2015,Renewables,360.2
2016,Renewables,379.1
2017,Renewables,382.5
2018,Renewables,400.2
2019,Renewables,418.8
