Year,Transport,Electricity Supply,Manufacturing,Mining,Residential,Commercial,Other
1974,701.0,540.4,927.6,64.8,246.3,82.9,131.7
1975,715.0,559.9,925.9,67.3,246.4,84.8,131.5
1976,761.9,634.3,943.1,73.8,260.2,88.4,144.2
1977,798.7,662.6,952.9,73.0,261.0,90.2,146.8
1978,812.9,691.6,955.1,76.5,270.5,95.2,151.3
1979,824.6,743.3,965.2,80.8,261.9,99.4,156.2
1980,835.2,778.2,946.0,71.2,262.8,101.3,151.6
1981,843.8,845.3,939.5,71.3,272.8,104.7,160.3
1982,837.0,829.7,852.7,75.1,273.2,104.5,150.5
1983,864.1,846.6,887.8,83.2,276.0,105.6,157.8
1984,892.1,900.9,934.3,96.9,282.1,109.9,154.6
1985,906.3,896.2,939.6,97.9,288.4,116.1,158.0
1986,922.1,939.5,966.0,105.0,298.1,122.9,160.8
1987,966.0,962.5,988.3,116.7,296.2,129.4,163.9
1988,1004.9,1047.6,1041.0,129.3,301.5,136.7,171.8
1989,1012.4,1066.0,1067.4,159.9,322.3,145.5,172.3
1990,1003.0,1065.0,1073.9,164.6,327.8,151.1,164.5
1991,1024.3,1092.9,1033.9,176.2,334.6,154.2,166.6
1992,1049.6,1096.4,1066.6,189.3,347.1,158.8,174.0
1993,1081.0,1109.6,1109.0,194.6,344.4,162.3,181.0
1994,1139.3,1162.6,1132.4,213.1,358.6,172.9,186.5
1995,1181.5,1211.8,1135.4,237.6,368.4,183.6,187.2
1996,1203.0,1244.1,1155.0,247.9,376.3,189.6,195.2
1997,1210.2,1347.3,1179.3,261.5,383.5,198.4,197.4
1998,1228.5,1415.6,1192.9,260.7,384.6,204.7,197.7
1999,1266.6,1427.4,1191.9,272.5,391.9,211.3,209.3
2000,1249.1,1507.9,1188.3,253.9,398.0,214.5,200.1
2001,1261.1,1542.9,1207.4,268.8,389.0,221.9,206.1
2002,1265.9,1566.7,1175.0,258.3,411.6,250.7,210.4
2003,1327.8,1664.8,1136.6,268.5,415.0,255.9,216.1
2004,1358.1,1706.4,1163.7,290.2,410.9,256.4,213.5
2005,1388.2,1730.7,1231.4,307.9,418.0,259.4,211.3
2006,1425.7,1807.8,1258.7,327.3,426.7,272.6,205.2
2007,1458.0,1823.9,1205.2,334.8,431.2,274.5,208.5
2008,1460.1,1913.9,1171.1,369.4,437.4,278.6,213.2
2009,1490.8,1755.2,1259.8,372.3,444.3,284.4,216.9
2010,1524.4,1682.6,1330.6,407.5,454.1,291.0,212.4
2011,1547.6,1726.3,1214.9,448.1,453.4,286.6,211.1
2012,1574.0,1614.0,1265.0,500.9,455.1,296.0,209.9
2013,1592.2,1578.2,1233.7,529.5,447.8,302.1,207.6
2014,1623.3,1663.6,1113.0,521.2,456.2,320.3,211.0
2015,1654.9,1710.3,1110.4,575.6,460.9,321.5,222.6
2016,1690.1,1674.9,1080.4,666.3,458.6,328.9,221.8
2017,1734.1,1614.3,1085.7,729.7,458.5,332.7,232.3
2018,1746.6,1579.1,1051.2,812.4,461.0,331.3,214.0
2019,1593.7,1534.5,1030.9,853.6,473.3,321.2,206.6
