Year,Continent_Name,CO2 Emission,GDP,Temperature Change
1960,Africa,156.565,463698391613.37994,0.5464008000876186
1960,Asia,56820.177999999985,3373660594215.0664,0.5380965579877695
1960,Europe,4070.5479999999993,4672394574764.8,0.8288622498394033
1960,North America,3179.469,3803046706190.0,0.4290857327321943
1960,Oceania,18233.024999999994,180975050451.0,0.34846940126652387
1960,South America,199.14099999999996,728512318725.0,0.4085559322033898
1961,Africa,161.99300000000005,473416095885.788,0.1424658564814816
1961,Asia,57816.24299999995,3434373950315.9697,0.17460587732561955
1961,Europe,4209.923000000001,4935579138509.4,0.9988269679300288
1961,North America,3174.676,3900311059197.0,0.03745418894830651
1961,Oceania,18606.737,183972687352.0,0.03691857196401801
1961,South America,201.769,778164904971.0,0.07840000000000001
1962,Africa,166.33600000000004,490906518713.983,0.05077835648148143
1962,Asia,60365.874999999985,3649204660849.331,0.3860766550522643
1962,Europe,4447.304,5184446510430.0,0.38499023323615195
1962,North America,3299.304,4135096900797.0,0.026715365418894778
1962,Oceania,19461.975999999995,193928693602.0,0.07270901314048857
1962,South America,215.64800000000002,812413047265.0,-0.1994
1963,Africa,176.33299999999994,525516126073.31995,0.10640335648148135
1963,Asia,64200.42299999994,3910211163296.62,0.396776609032936
1963,Europe,4760.512000000001,5438142612465.1,0.20674533527696787
1963,North America,3431.238,4325171688695.0,0.05331536541889476
1963,Oceania,20697.318,205878022289.0,-0.04379098685951142
1963,South America,219.40800000000002,826058317709.0,0.11259999999999988
1964,Africa,193.64000000000004,552920678196.06,-0.025159143518518536
1964,Asia,67582.37199999999,4257145291444.2725,0.022971730984156093
1964,Europe,4982.808,5765826249782.5,0.46758206997084534
1964,North America,3609.227,4592165306795.0,0.05229418894830646
1964,Oceania,21785.181999999993,219158076196.0,0.03477151314048851
1964,South America,230.18899999999996,878094914965.0,-0.2197
1965,Africa,213.63200000000003,582372755729.408,-0.11740914351851836
1965,Asia,70527.01199999996,4484731860915.466,0.11838636513049751
1965,Europe,5146.683999999999,6020037813693.5,0.16762288629737587
1965,North America,3759.8410000000003,4883501547547.0,-0.1534949019607844
1965,Oceania,22709.518999999997,230899288288.0,-0.3117284868595114
1965,South America,240.143,921793191552.0,-0.0016000000000000005
1966,Africa,221.084,597490866855.29,0.20244502314814805
1966,Asia,73527.60999999999,4752504925288.1,0.5338815331010452
1966,Europe,5309.321000000001,6299786853319.2,0.5779902332361512
1966,North America,3943.723,5203225258385.0,-0.041913725490196
1966,Oceania,23639.36500000001,238931792942.0,-0.11720642803598204
1966,South America,252.03999999999996,965057141764.0,-0.029799999999999997
1967,Africa,237.042,608462348415.025,-0.02978414351851849
1967,Asia,75892.19700000003,5030729446816.84,-0.08750871080139372
1967,Europe,5432.9349999999995,6553091052288.5,0.6520310495626829
1967,North America,4114.42,5350590571715.0,-0.24571372549019616
1967,Oceania,24407.935,249562902562.0,-0.12254098685951134
1967,South America,267.37399999999997,999972461697.0,-0.1067
1968,Africa,257.28600000000006,636752346400.92,-0.10353414351851857
1968,Asia,80081.68399999989,5353271152121.944,0.003003484320557398
1968,Europe,5684.859,6908584337927.8,0.4384188046647232
1968,North America,4276.387,5614708483979.0,-0.21447372549019603
1968,Oceania,25734.329,261422529200.0,-0.1211659868595114
1968,South America,287.65200000000004,1059922188043.0,-0.05389999999999991
1969,Africa,277.91700000000003,687500192698.55,0.3855491898148149
1969,Asia,85325.60499999991,5799606697290.361,0.36885714285714283
1969,Europe,5997.967999999999,7258198481058.8,0.32976574344023346
1969,North America,4487.615,5811657111197.0,0.20584000000000002
1969,Oceania,27381.973,279290686352.0,0.0907715131404885
1969,South America,311.279,1135825583337.0,0.3660999999999999
1970,Africa,302.626,745012240209.58,0.3407991898148148
1970,Asia,91724.82899999995,6343968980533.25,0.4152888041548882
1970,Europe,6301.647,7706139288610.6,0.3023575801749273
1970,North America,4847.783,5862504723375.0,-0.06268000000000003
