Country Code,Year,GDP
ABW,1960,
AFE,1960,19291929319.7389
AFG,1960,537777811.111111
AFW,1960,10407321640.3539
AGO,1960,
ALB,1960,
AND,1960,
ARB,1960,
ARE,1960,
ARG,1960,
ARM,1960,
ASM,1960,
ATG,1960,
AUS,1960,18577668271.9229
AUT,1960,6592693841.18495
AZE,1960,
BDI,1960,195999990.0
BEL,1960,11658722590.99
BEN,1960,226195579.35701
BFA,1960,330442817.168859
BGD,1960,4274893913.49536
BGR,1960,
BHR,1960,
BHS,1960,169803921.568627
BIH,1960,
BLR,1960,
BLZ,1960,28071888.5622288
BMU,1960,84466654.0769119
BOL,1960,373879363.595386
BRA,1960,15165569912.5199
BRB,1960,
BRN,1960,
BTN,1960,
BWA,1960,30412308.9864012
CAF,1960,112155598.949571
CAN,1960,40461721692.6468
CEB,1960,
CHE,1960,9522746719.21614
CHI,1960,
CHL,1960,4110000000.0
CHN,1960,59716467625.3148
CIV,1960,546203561.571989
CMR,1960,614206071.002235
COD,1960,3359404117.64706
COG,1960,131731862.568975
COL,1960,4031152976.63904
COM,1960,
CPV,1960,
CRI,1960,507513829.994855
CSS,1960,1880306125.08709
CUB,1960,
CUW,1960,
CYM,1960,
CYP,1960,
CZE,1960,
DEU,1960,
DJI,1960,
DMA,1960,
DNK,1960,
DOM,1960,672399700.0
DZA,1960,2723593384.78054
EAP,1960,80228099085.3378
EAR,1960,155760911038.015
EAS,1960,153371358387.281
ECA,1960,
ECS,1960,
ECU,1960,2069465326.41882
EGY,1960,
EMU,1960,244822233085.413
ERI,1960,
ESP,1960,12072126075.397
EST,1960,
ETH,1960,
EUU,1960,
FCS,1960,29349021069.3616
FIN,1960,5224102195.52771
FJI,1960,112328422.113084
FRA,1960,62225478000.8822
FRO,1960,
FSM,1960,
GAB,1960,141468978.376811
GBR,1960,73233967692.1028
GEO,1960,
GHA,1960,1217230038.26781
GIB,1960,
GIN,1960,
GMB,1960,
GNB,1960,
GNQ,1960,
GRC,1960,4335186016.83942
GRD,1960,
GRL,1960,
GTM,1960,1043599900.0
GUM,1960,
GUY,1960,170215248.206265
HIC,1960,1065948843592.6
HKG,1960,1320796651.69457
HND,1960,335650000.0
HPC,1960,17362158669.5291
HRV,1960,
HTI,1960,273187200.0
HUN,1960,
IBD,1960,315973597830.62
IBT,1960,352596709532.301
IDA,1960,37717512939.3174
IDB,1960,12063675731.3764
IDN,1960,
IDX,1960,26675755356.452
IMN,1960,
IND,1960,37029883875.4573
INX,1960,
IRL,1960,1939329775.43739
IRN,1960,4199134389.9037
IRQ,1960,
ISL,1960,248434096.968726
ISR,1960,2598500000.0
ITA,1960,40385288344.1911
JAM,1960,699050678.98642
JOR,1960,
JPN,1960,44307342950.4
KAZ,1960,
KEN,1960,791265458.818076
KGZ,1960,
KHM,1960,637142865.714286
KIR,1960,
KNA,1960,12366563.6119699
KOR,1960,3958190758.62419
KWT,1960,
LAC,1960,65620808165.847
LAO,1960,
LBN,1960,
LBR,1960,
LBY,1960,
LCA,1960,
LCN,1960,81651509143.1006
LDC,1960,
LIC,1960,
LIE,1960,
LKA,1960,1409873949.57983
LMC,1960,88920589041.2411
LMY,1960,334795344385.953
LSO,1960,34579308.4138317
LTE,1960,181842917423.45
LTU,1960,
LUX,1960,703925705.942958
LVA,1960,
MAC,1960,
MAF,1960,
MAR,1960,2037150716.33238
MCO,1960,
MDA,1960,
MDG,1960,673081724.076322
MDV,1960,
MEA,1960,
MEX,1960,13040000000.0
MHL,1960,
MIC,1960,322125506384.578
MKD,1960,
MLI,1960,
MLT,1960,
MMR,1960,
MNA,1960,
MNE,1960,
MNG,1960,
MNP,1960,
MOZ,1960,
MRT,1960,
MUS,1960,
MWI,1960,162956740.865183
MYS,1960,1916241996.60264
NAC,1960,583846188346.724
NAM,1960,
NCL,1960,
NER,1960,449526872.565486
NGA,1960,4196092258.15484
NIC,1960,223854666.666667
NLD,1960,12276734172.0828
NOR,1960,5163271598.15702
NPL,1960,508334413.965087
NRU,1960,
NZL,1960,5485854791.97096
OED,1960,1080919288767.36
OMN,1960,
OSS,1960,
PAK,1960,3749265014.69971
PAN,1960,537147100.0
PER,1960,2571908062.07692
PHL,1960,6684568805.0688
PLW,1960,
PNG,1960,230496032.981216
