Year,Uranium Produced,Country
2011,18915,Others
2012,21183,Others
2013,21199,Others
2014,18780,Others
2015,17756,Others
2016,18163,Others
2017,18143,Others
2018,18932,Others
2019,18383,Others
2020,18166,Others
2011,19451,Kazakhstan
2011,5983,Australia
2011,9145,Canada
2012,21317,Kazakhstan
2012,6991,Australia
2012,8999,Canada
2013,22451,Kazakhstan
2013,6350,Australia
2013,9331,Canada
2014,23127,Kazakhstan
2014,5001,Australia
2014,9134,Canada
2015,23607,Kazakhstan
2015,5654,Australia
2015,13325,Canada
2016,24689,Kazakhstan
2016,6315,Australia
2016,14039,Canada
2017,23321,Kazakhstan
2017,5882,Australia
2017,13116,Canada
2018,21705,Kazakhstan
2018,6517,Australia
2018,7001,Canada
2019,22808,Kazakhstan
2019,6613,Australia
2019,6938,Canada
2020,19477,Kazakhstan
2020,6203,Australia
2020,3885,Canada
